sponsor,total_trials,completed,terminated,avg_enrollment,sponsor_category,completion_rate,termination_rate
Tianjin University of Traditional Chinese Medicine,2,2,0,134.0,Academic,100.0,0.0
Acumen Pharmaceuticals,2,2,0,46.0,Large Pharma,100.0,0.0
Dr. Siyami Ersek Thoracic and Cardiovascular Surgery Training and Research Hospital,2,2,0,35.0,Hospital and Health System,100.0,0.0
Acutus Medical,2,2,0,128.0,Other,100.0,0.0
Dr. Negrin University Hospital,2,1,1,117.0,Academic,50.0,50.0
Universidad de Guanajuato,2,2,0,59.0,Academic,100.0,0.0
Adagio Medical,2,1,1,153.0,Other,50.0,50.0
Coventry University,2,2,0,23.0,Academic,100.0,0.0
PhaseBio Pharmaceuticals Inc.,2,1,1,27.0,Large Pharma,50.0,50.0
Dr. Muhammad Naeem,2,2,0,83.0,Other,100.0,0.0
Tianjin Medical University Eye Hospital,2,2,0,46.0,Academic,100.0,0.0
"Pharmbio Korea Co., Ltd.",2,2,0,109.0,Biotech,100.0,0.0
Zulekha Hospitals,2,2,0,59.0,Hospital and Health System,100.0,0.0
Midwestern Regional Medical Center,2,0,1,2.0,Hospital and Health System,0.0,50.0
"Pharmazz, Inc.",2,2,0,99.0,Large Pharma,100.0,0.0
Tisento Therapeutics,2,0,1,28.0,Biotech,0.0,50.0
"Megan Daly, MD",2,2,0,10.0,Other,100.0,0.0
Albert B. Sabin Vaccine Institute,2,2,0,1193.0,Academic,100.0,0.0
Tiziana Life Sciences LTD,2,0,0,0.0,Biotech,0.0,0.0
Midwest Evaluation & Research,2,2,0,946.0,Other,100.0,0.0
Tocagen Inc.,2,0,1,10.0,Biotech,0.0,50.0
Pharmanex,2,2,0,100.0,Large Pharma,100.0,0.0
Universidad de Sonora,2,2,0,46.0,Academic,100.0,0.0
Universidad Vina del Mar,2,2,0,100.0,Academic,100.0,0.0
Cue Biopharma,2,2,0,61.0,Large Pharma,100.0,0.0
"Acotec Scientific Co., Ltd",2,2,0,184.0,Biotech,100.0,0.0
Zodiac Produtos Farmaceuticos S.A.,2,2,0,58.0,Other,100.0,0.0
"Dorothy Sipkins, MD, PhD",2,0,1,2.0,Other,0.0,50.0
Nidek Co. LTD.,2,2,0,138.0,Other,100.0,0.0
Dr. Behcet Uz Children's Hospital,2,2,0,90.0,Hospital and Health System,100.0,0.0
Tracon Pharmaceuticals Inc.,2,2,0,70.0,Large Pharma,100.0,0.0
"CuraSen Therapeutics, Inc.",2,2,0,52.0,Biotech,100.0,0.0
Dr Cipto Mangunkusumo General Hospital,2,2,0,84.0,Hospital and Health System,100.0,0.0
Dr Anthony Hobson,2,2,0,26.0,Other,100.0,0.0
Trak Health Solutions S.L.,2,2,0,56.0,Other,100.0,0.0
DoubleGood AB,2,2,0,40.0,Other,100.0,0.0
Al-Mustansiriyah University,2,1,0,120.0,Academic,50.0,0.0
Paulista University,2,2,0,84.0,Academic,100.0,0.0
Ziemer Ophthalmic Systems AG,2,2,0,131.0,Other,100.0,0.0
Adrian Hernandez,2,1,1,686.0,Other,50.0,50.0
Corvia Medical,2,0,0,326.0,Other,0.0,0.0
Achieve Life Sciences,2,2,0,37.0,Biotech,100.0,0.0
Dornier MedTech Systems,2,1,1,38.0,Other,50.0,50.0
"TransThera Sciences (Nanjing), Inc.",2,2,0,114.0,Biotech,100.0,0.0
Mid and South Essex NHS Foundation Trust,2,2,0,31.0,Government and Public Health,100.0,0.0
Adrian Vella,2,2,0,22.0,Other,100.0,0.0
"Nicox Ophthalmics, Inc.",2,2,0,676.0,Biotech,100.0,0.0
Al-Balqa Applied University,2,2,0,90.0,Academic,100.0,0.0
Ache Laboratorios Farmaceuticos S.A.,2,0,0,0.0,Other,0.0,0.0
CureVac,2,2,0,19866.0,Other,100.0,0.0
Curon Biopharmaceutical (Australia) Co Pty Ltd,2,1,1,10.0,Large Pharma,50.0,50.0
"Dongzhimen Hospital, Beijing",2,1,0,80.0,Hospital and Health System,50.0,0.0
Dr Prabhuji MLV,2,2,0,18.0,Other,100.0,0.0
"Pfenex, Inc",2,2,0,41.0,Other,100.0,0.0
ZipLine Medical Inc.,2,2,0,26.0,Biotech,100.0,0.0
Cumberland Pharmaceuticals,2,2,0,43.0,Large Pharma,100.0,0.0
Torbay and South Devon NHS Foundation Trust,2,2,0,28.0,Government and Public Health,100.0,0.0
Adiyaman University,2,2,0,62.0,Academic,100.0,0.0
"Adlai Nortye Biopharma Co., Ltd.",2,1,0,46.0,Large Pharma,50.0,0.0
Ziv Hospital,2,2,0,52.0,Hospital and Health System,100.0,0.0
Menekşe Nazlı AKER,2,2,0,81.0,Other,100.0,0.0
Medtronic Cardiac Surgery,2,1,0,108.0,Other,50.0,0.0
"DyAnsys, Inc.",2,2,0,46.0,Biotech,100.0,0.0
Al-Zaytoonah University of Jordan,2,2,0,83.0,Academic,100.0,0.0
Tianjin University of Sport,2,2,0,40.0,Academic,100.0,0.0
"Corvus Pharmaceuticals, Inc.",2,2,0,16.0,Large Pharma,100.0,0.0
Menarini Group,2,1,1,30.0,Other,50.0,50.0
Cumbria Partnership NHS Foundation Trust,2,2,0,488.0,Government and Public Health,100.0,0.0
"Touro University, California",2,1,0,20.0,Academic,50.0,0.0
Cosmetique Active International,2,2,0,78.0,Government and Public Health,100.0,0.0
Oppilan Pharma Ltd,1,1,0,12.0,Large Pharma,100.0,0.0
"NovaDigm Therapeutics, Inc.",1,1,0,382.0,Biotech,100.0,0.0
NovaCell Technology Inc.,1,1,0,18.0,Biotech,100.0,0.0
"Odonate Therapeutics, Inc.",1,0,1,685.0,Biotech,0.0,100.0
Olakunle Ifeoluwa Makinde,1,1,0,324.0,Other,100.0,0.0
"Raphael Bueno, MD",1,0,0,0.0,Other,0.0,0.0
Retinset SL,1,1,0,22.0,Other,100.0,0.0
NovaBiotics Ltd.,1,1,0,91.0,Other,100.0,0.0
"Opsens, Inc.",1,1,0,119.0,Biotech,100.0,0.0
Reuth Rehabilitation Hospital,1,0,1,4.0,Hospital and Health System,0.0,100.0
"Rhaeos, Inc.",1,1,0,20.0,Biotech,100.0,0.0
RevBio,1,0,0,20.0,Other,0.0,0.0
"Reia, LLC",1,1,0,15.0,Other,100.0,0.0
Novelfarma Ilaç San. ve Tic. Ltd. Sti.,1,1,0,30.0,Other,100.0,0.0
"Novadaq Technologies ULC, now a part of Stryker",1,0,1,347.0,Other,0.0,100.0
Rett Syndrome Research Trust,1,1,0,23.0,Other,100.0,0.0
Odin Medical,1,1,0,985.0,Other,100.0,0.0
Novatek Pharmaceuticals,1,1,0,55.0,Large Pharma,100.0,0.0
"Oladipupo Olafiranye, MD, MS",1,1,0,110.0,Other,100.0,0.0
Ophthotech Corporation,1,0,1,63.0,Biotech,0.0,100.0
Regionshospitalet Silkeborg,1,1,0,17.0,Hospital and Health System,100.0,0.0
Ojenforeningen,1,1,0,70.0,Other,100.0,0.0
Revalidatieziekenhuis InkendaaI,1,1,0,20.0,Other,100.0,0.0
Regionspsykiatrien Gødstrup,1,0,1,7.0,Other,0.0,100.0
Rashid Centre for Diabetes and Research,1,1,0,61.0,Other,100.0,0.0
Rehasport Clinic,1,1,0,72.0,Hospital and Health System,100.0,0.0
Rashid Latif Medical College,1,1,0,54.0,Academic,100.0,0.0
Opiant Pharmaceuticals Inc,1,1,0,84.0,Large Pharma,100.0,0.0
Regulus Therapeutics Inc.,1,1,0,32.0,Biotech,100.0,0.0
Reham Hassan,1,1,0,39.0,Other,100.0,0.0
Opsona Therapeutics Ltd.,1,1,0,14.0,Biotech,100.0,0.0
Revibe Technologies,1,1,0,97.0,Other,100.0,0.0
Reveal Pharmaceuticals Inc.,1,1,0,32.0,Large Pharma,100.0,0.0
Regione del Veneto - AULSS n. 7 Pedemontana,1,0,0,80.0,Other,0.0,0.0
"Ogevity Therapeutics, Inc.",1,1,0,20.0,Biotech,100.0,0.0
"Reven Pharmaceuticals, Inc.",1,1,0,76.0,Large Pharma,100.0,0.0
Novalead Pharma Private Limited,1,1,0,176.0,Large Pharma,100.0,0.0
"Rehabilitation Centre for Children, Canada",1,1,0,7.0,Other,100.0,0.0
Novartis,1,1,0,70.0,Large Pharma,100.0,0.0
Rare Thyroid Therapeutics International AB,1,1,0,20.0,Biotech,100.0,0.0
Ocuwize LTD,1,1,0,13.0,Other,100.0,0.0
Rasmus Wulff Hauritz,1,1,0,56.0,Other,100.0,0.0
"Ophirex, Inc.",1,1,0,95.0,Biotech,100.0,0.0
"Ray Therapeutics, Inc.",1,0,0,10.0,Biotech,0.0,0.0
Novastep,1,0,0,86.0,Other,0.0,0.0
Rehazentrum Wilhelmshaven,1,1,0,61.0,Other,100.0,0.0
Ola Alaa El-Din Abd El-Monem Mohamed,1,1,0,14.0,Other,100.0,0.0
Rawi Hazzan,1,1,0,22.0,Other,100.0,0.0
Ophthalmic Consultants of Boston,1,1,0,52.0,Other,100.0,0.0
Novadip Biosciences,1,1,0,11.0,Biotech,100.0,0.0
Novartis Gene Therapies,1,0,1,32.0,Large Pharma,0.0,100.0
"Okamoto Industries, Inc.",1,0,1,188.0,Biotech,0.0,100.0
Reham Lotfy Aggour,1,1,0,120.0,Other,100.0,0.0
"RapidPulse, Inc",1,1,0,5.0,Other,100.0,0.0
"Ocumension Therapeutics (Suzhou) Co., Ltd",1,1,0,148.0,Biotech,100.0,0.0
Novakand Pharma AB,1,0,1,35.0,Large Pharma,0.0,100.0
Rasmus Elsøe,1,1,0,122.0,Other,100.0,0.0
Oklahoma State University Center for Health Sciences,1,1,0,580.0,Biotech,100.0,0.0
"Rare Disease Research, LLC",1,0,1,2.0,Other,0.0,100.0
Ophthalmos Research and Education Institute,1,1,0,32.0,Academic,100.0,0.0
Reseach Laboratory of Clinical and Experimental Pharmacology,1,1,0,18.0,Large Pharma,100.0,0.0
"Rempex (a wholly owned subsidiary of Melinta Therapeutics, LLC)",1,0,0,39.0,Biotech,0.0,0.0
Regional Hospital West Jutland,1,1,0,170.0,Hospital and Health System,100.0,0.0
"Regenstrief Institute, Inc.",1,1,0,1306.0,Biotech,100.0,0.0
"Rebiscan, Inc.",1,1,0,7.0,Biotech,100.0,0.0
OnPoint Vision Inc,1,1,0,9.0,Other,100.0,0.0
Rebiotix Inc.,1,1,0,793.0,Biotech,100.0,0.0
Rebecca Tavernier,1,0,0,0.0,Other,0.0,0.0
"Regenesis Biomedical, Inc.",1,0,0,0.0,Biotech,0.0,0.0
Rebecca Price,1,0,1,16.0,Other,0.0,100.0
Nutravalia,1,1,0,208.0,Other,100.0,0.0
"Regenexx, LLC",1,1,0,80.0,Other,100.0,0.0
Regensight,1,1,0,50.0,Other,100.0,0.0
"OncXerna Theraputics, Inc.",1,1,0,80.0,Biotech,100.0,0.0
Olympus Corporation of the Americas,1,1,0,9.0,Biotech,100.0,0.0
"Realm Therapeutics, Inc.",1,1,0,96.0,Biotech,100.0,0.0
Nursing School of Lisbon,1,1,0,60.0,Academic,100.0,0.0
OncoSec Medical Incorporated,1,0,1,4.0,Other,0.0,100.0
Oncocross Australia Pty Ltd.,1,1,0,23.0,Other,100.0,0.0
Research Centre for Natural Sciences,1,1,0,51.0,Biotech,100.0,0.0
Oluf Pedersen,1,1,0,32.0,Other,100.0,0.0
Replicor Inc.,1,1,0,40.0,Biotech,100.0,0.0
Reade Rheumatology Research Institute,1,1,0,78.0,Academic,100.0,0.0
ReST Therapeutics,1,0,0,0.0,Biotech,0.0,0.0
Reparel,1,0,0,50.0,Other,0.0,0.0
ONY,1,0,1,13.0,Other,0.0,100.0
"Number 2 Children's Hospital, Ho Chi Minh City",1,1,0,45.0,Hospital and Health System,100.0,0.0
Oluf Borbye Pedersen,1,1,0,26.0,Other,100.0,0.0
Renova Therapeutics,1,0,0,0.0,Biotech,0.0,0.0
Numab Therapeutics AG,1,0,1,11.0,Biotech,0.0,100.0
ORHUN EKREN,1,1,0,78.0,Other,100.0,0.0
Nuformix Technologies Limited,1,1,0,12.0,Other,100.0,0.0
"Olly, PBC",1,1,0,85.0,Other,100.0,0.0
ReNeuron Limited,1,0,1,15.0,Other,0.0,100.0
"OnKure, Inc.",1,1,0,36.0,Biotech,100.0,0.0
RegenLab France SAS,1,0,0,280.0,Other,0.0,0.0
Oncoinvent Solutions AS,1,1,0,21.0,Other,100.0,0.0
Omer Sezgin,1,0,0,36.0,Other,0.0,0.0
Omayma Ismail Khalaf,1,1,0,90.0,Other,100.0,0.0
Recursion Pharmaceuticals Inc.,1,1,0,62.0,Large Pharma,100.0,0.0
Research Center Borstel,1,1,0,60.0,Other,100.0,0.0
RedDress Ltd.,1,0,1,6.0,Other,0.0,100.0
Recovery Record Research,1,1,0,3340.0,Other,100.0,0.0
Omar Aljitawi,1,1,0,99.0,Other,100.0,0.0
Research Center for Clinical Neuroimmunology and Neuroscience Basel,1,1,0,62.0,Hospital and Health System,100.0,0.0
Omar Ahmed El Sayed Saad,1,1,0,90.0,Other,100.0,0.0
Omer Othman Abdullah,1,0,1,5.0,Other,0.0,100.0
"Nuvo-Group, Ltd.",1,1,0,80.0,Other,100.0,0.0
Oman Ministry of Health,1,1,0,100.0,Government and Public Health,100.0,0.0
Republican Specialized Scientific and Practical Medical Center of Surgery Named After V. Vakhidov,1,1,0,95.0,Hospital and Health System,100.0,0.0
"Reconstrata, LLC",1,0,1,2.0,Other,0.0,100.0
Nutrition International,1,1,0,1245.0,Government and Public Health,100.0,0.0
Oman Medical Speciality Board,1,1,0,384.0,Other,100.0,0.0
Repos Pharma,1,0,1,11.0,Large Pharma,0.0,100.0
"Nuwellis, Inc.",1,0,1,6.0,Biotech,0.0,100.0
Omaima Mossad Mahmoud AL-Sherbini,1,1,0,20.0,Other,100.0,0.0
Reproductive Specialists of New York,1,1,0,78.0,Other,100.0,0.0
Rebox Therapy s.r.o.,1,1,0,72.0,Other,100.0,0.0
Nyanza Reproductive Health Society,1,1,0,152.0,Other,100.0,0.0
"Research Centre for Medical Genetics, Russian Federation",1,1,0,64.0,Other,100.0,0.0
Omikron Italia S.r.l.,1,1,0,155.0,Other,100.0,0.0
Nutrin GmbH,1,1,0,30.0,Biotech,100.0,0.0
"Refocus Group, Inc.",1,1,0,287.0,Biotech,100.0,0.0
Reproductive Medicine Associates of New Jersey,1,0,1,3.0,Other,0.0,100.0
"Rege Nephro Co., Ltd.",1,0,0,70.0,Biotech,0.0,0.0
Omphis Foundation,1,0,0,0.0,Other,0.0,0.0
"Omada Health, Inc.",1,1,0,598.0,Biotech,100.0,0.0
Reproductive & Genetic Hospital of CITIC-Xiangya,1,1,0,186.0,Hospital and Health System,100.0,0.0
"ReNetX Bio, Inc.",1,1,0,52.0,Biotech,100.0,0.0
Nucletron Operations BV,1,1,0,5.0,Other,100.0,0.0
"Noven Pharmaceuticals, Inc.",1,1,0,617.0,Large Pharma,100.0,0.0
Novosanis NV,1,0,0,0.0,Other,0.0,0.0
"Oneness Biotech Co., Ltd.",1,0,1,9.0,Biotech,0.0,100.0
Rayner Intraocular Lenses Limited,1,1,0,274.0,Other,100.0,0.0
Respivant Sciences GmbH,1,0,1,108.0,Biotech,0.0,100.0
Ontario Clinical Oncology Group (OCOG),1,0,1,1.0,Biotech,0.0,100.0
Remko P. Bosgraaf,1,1,0,1.0,Other,100.0,0.0
Region of Southern Denmark,1,1,0,333.0,Government and Public Health,100.0,0.0
"Remedy Plan, Inc.",1,1,0,56.0,Biotech,100.0,0.0
Observatoire Regional de la Sante Provence-Alpes-Côte d'Azur,1,1,0,380.0,Other,100.0,0.0
Ontario Medical Association,1,1,0,19124.0,Other,100.0,0.0
Ontario Shores Centre for Mental Health Sciences,1,1,0,67.0,Biotech,100.0,0.0
Remedor Biomed Ltd,1,1,0,20.0,Biotech,100.0,0.0
Obstetrics and Gynecology Hospital of Fudan University-Huangpu Campus,1,1,0,154.0,Academic,100.0,0.0
Novosibirsk Research Institute of Traumatology and Orthopaedics n.a. Ya.L. Tsivyan,1,0,1,132.0,Academic,0.0,100.0
Restor3D,1,0,1,215.0,Other,0.0,100.0
"Raymond T. Chung, MD",1,0,0,0.0,Other,0.0,0.0
One Heart Worldwide,1,1,0,326.0,Other,100.0,0.0
"Ocelot Bio, Inc",1,1,0,47.0,Other,100.0,0.0
Ole Kudsk Jensen,1,1,0,94.0,Other,100.0,0.0
Retina Implant AG,1,0,1,2.0,Other,0.0,100.0
"Novita Pharmaceuticals, Inc.",1,1,0,23.0,Large Pharma,100.0,0.0
"Ole Frobert, MD, PhD",1,0,0,1713.0,Other,0.0,0.0
Retina-Vitreous Associates Medical Group,1,1,0,9.0,Other,100.0,0.0
Onur Gültekin,1,1,0,175.0,Other,100.0,0.0
Onur Selvi,1,1,0,50.0,Other,100.0,0.0
Octimet Oncology N.V.,1,0,1,40.0,Biotech,0.0,100.0
"OcuTerra Therapeutics, Inc.",1,1,0,44.0,Biotech,100.0,0.0
Onze Lieve Vrouw Hospital,1,1,0,21.0,Hospital and Health System,100.0,0.0
Olatec Therapeutics LLC,1,0,1,49.0,Biotech,0.0,100.0
Relife Italia S.r.l.,1,1,0,70.0,Other,100.0,0.0
"Relay Therapeutics, Inc.",1,1,0,41.0,Biotech,100.0,0.0
"Olema Pharmaceuticals, Inc.",1,0,0,60.0,Large Pharma,0.0,0.0
Novostia SA,1,0,0,10.0,Other,0.0,0.0
ORIYOMI OMOTOYOSI AKINYOTU,1,1,0,142.0,Other,100.0,0.0
"Oasis Pharmaceuticals, LLC",1,1,0,24.0,Large Pharma,100.0,0.0
Oncolytics Biotech,1,0,0,48.0,Biotech,0.0,0.0
"ReGelTec, Inc.",1,1,0,35.0,Biotech,100.0,0.0
OSE Immunotherapeutics,1,1,0,64.0,Biotech,100.0,0.0
Olivier Hugli,1,1,0,117.0,Other,100.0,0.0
Oncomfort,1,1,0,60.0,Other,100.0,0.0
OSF Healthcare System,1,1,0,11.0,Hospital and Health System,100.0,0.0
Oakland University,1,1,0,799.0,Academic,100.0,0.0
Reneo Pharma Ltd,1,1,0,19.0,Large Pharma,100.0,0.0
Oana David,1,1,0,294.0,Other,100.0,0.0
Rene Kahn,1,1,0,145.0,Other,100.0,0.0
Region Jönköping County,1,0,1,138.0,Government and Public Health,0.0,100.0
Nucleix Ltd.,1,1,0,1050.0,Other,100.0,0.0
"Oncorus, Inc.",1,0,1,66.0,Biotech,0.0,100.0
"Research Institute of Ophthalmology, Egypt",1,1,0,40.0,Academic,100.0,0.0
Renata Medical,1,0,0,42.0,Other,0.0,0.0
"Respira Therapeutics, Inc.",1,1,0,14.0,Biotech,100.0,0.0
NuVasive,1,1,0,145.0,Other,100.0,0.0
Olistic Research Labs S.L.,1,1,0,106.0,Biotech,100.0,0.0
Oncotherapeutics,1,0,1,13.0,Biotech,0.0,100.0
"Oncovir, Inc.",1,0,1,7.0,Biotech,0.0,100.0
"Obalon Therapeutics, Inc.",1,1,0,711.0,Biotech,100.0,0.0
"NuTech Medical, Inc",1,1,0,96.0,Other,100.0,0.0
NuCana plc,1,0,1,53.0,Other,0.0,100.0
NuBiyota,1,1,0,15.0,Other,100.0,0.0
NuBest,1,1,0,60.0,Other,100.0,0.0
"Nu Eyne Co., Ltd.",1,1,0,24.0,Biotech,100.0,0.0
OliPass Corporation,1,1,0,134.0,Biotech,100.0,0.0
Red Maple Trials Inc.,1,1,0,6.0,Biotech,100.0,0.0
"Rempex (a wholly owned subsidiary of Melinta Therapeutics, Inc.)",1,0,1,9.0,Biotech,0.0,100.0
Nowarta Biopharma Inc,1,1,0,54.0,Large Pharma,100.0,0.0
"Nutrisystem, Inc.",1,1,0,84.0,Biotech,100.0,0.0
Price Vision Group,1,1,0,29.0,Other,100.0,0.0
Opthea Limited,1,1,0,366.0,Other,100.0,0.0
"Peter Lindenauer, MD",1,1,0,139.0,Other,100.0,0.0
Prokarium Ltd,1,1,0,46.0,Other,100.0,0.0
PharmEvo Pvt Ltd,1,0,0,0.0,Other,0.0,0.0
PharmAbcine,1,0,1,19.0,Large Pharma,0.0,100.0
Phagenesis Ltd.,1,0,1,72.0,Other,0.0,100.0
Prolacta Bioscience,1,0,1,46.0,Biotech,0.0,100.0
"Prolepsis Institute for Preventive, Environmental and Occupational Medicine",1,1,0,50.0,Academic,100.0,0.0
Prollenium Medical Technologies Inc.,1,1,0,84.0,Biotech,100.0,0.0
Peyman Sarsangi,1,1,0,1097.0,Other,100.0,0.0
Prollergy dba Ready Set Food,1,0,0,1110.0,Other,0.0,0.0
Petronella Torild,1,1,0,40.0,Other,100.0,0.0
Peter y. Liu,1,0,0,80.0,Other,0.0,0.0
Peter Lindholm,1,0,0,0.0,Other,0.0,0.0
Peter Lackner,1,1,0,30.0,Other,100.0,0.0
Perran Boran,1,1,0,88.0,Other,100.0,0.0
Peter Kovacs MD,1,1,0,190.0,Other,100.0,0.0
"Peter C. Amadio, M.D.",1,1,0,40.0,Other,100.0,0.0
Peshawar Medical College,1,1,0,140.0,Academic,100.0,0.0
Perth Hip and Knee,1,1,0,100.0,Other,100.0,0.0
Prometheus Laboratories,1,0,1,25.0,Biotech,0.0,100.0
Perspective Therapeutics,1,1,0,7.0,Biotech,100.0,0.0
"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",1,1,0,3.0,Biotech,100.0,0.0
Persica Pharmaceuticals Ltd,1,1,0,43.0,Large Pharma,100.0,0.0
Promontory Therapeutics Inc.,1,1,0,68.0,Biotech,100.0,0.0
Pronova BioPharma,1,1,0,32.0,Large Pharma,100.0,0.0
Propella Therapeutics,1,1,0,120.0,Biotech,100.0,0.0
"Prosidyan, Inc.",1,1,0,102.0,Biotech,100.0,0.0
Pharma Guide CRO,1,1,0,34.0,Large Pharma,100.0,0.0
Pharma Holdings AS,1,1,0,15.0,Large Pharma,100.0,0.0
PharmaDiall Ltd.,1,1,0,399.0,Large Pharma,100.0,0.0
PharmaEngine,1,0,1,32.0,Large Pharma,0.0,100.0
Philip Kern,1,1,0,12.0,Other,100.0,0.0
Professional Education and Research Institute,1,1,0,100.0,Academic,100.0,0.0
Philip Grant,1,0,0,0.0,Other,0.0,0.0
Philadelphia College of Osteopathic Medicine,1,1,0,38.0,Academic,100.0,0.0
Phenox GmbH,1,0,0,171.0,Biotech,0.0,0.0
Professor Dr. Seicean Andrada,1,1,0,150.0,Other,100.0,0.0
Professor Fernando Figueira Integral Medicine Institute,1,1,0,80.0,Academic,100.0,0.0
Professor Francine Ducharme,1,1,0,323.0,Other,100.0,0.0
"PhenoSolve, LLC",1,1,0,28.0,Other,100.0,0.0
Pharos University in Alexandria,1,0,0,60.0,Academic,0.0,0.0
Profound Medical Inc.,1,0,0,150.0,Biotech,0.0,0.0
Pharmosa Biopharm Inc.,1,1,0,52.0,Biotech,100.0,0.0
"Profusa, Inc.",1,0,0,53.0,Biotech,0.0,0.0
Pharmenterprises Biotech LLC,1,1,0,60.0,Biotech,100.0,0.0
Pharmasyntez,1,1,0,50.0,Large Pharma,100.0,0.0
"Progenics Pharmaceuticals, Inc.",1,1,0,120.0,Large Pharma,100.0,0.0
Pharmamel S.L.,1,1,0,18.0,Large Pharma,100.0,0.0
Pharmalyte Solutions LLC,1,1,0,157.0,Large Pharma,100.0,0.0
Pharmacotherapies for Alcohol and Substance Use Disorders Alliance,1,0,1,69.0,Large Pharma,0.0,100.0
"Pharmaceutical Research Unit, Jordan",1,0,0,0.0,Large Pharma,0.0,0.0
Programme Against Malnutrition,1,1,0,501.0,Other,100.0,0.0
PharmaLinea Ltd.,1,1,0,111.0,Large Pharma,100.0,0.0
Project Concern International,1,1,0,960.0,Government and Public Health,100.0,0.0
"PharmaJet, Inc.",1,0,0,0.0,Large Pharma,0.0,0.0
PharmaEssentia Japan K.K.,1,1,0,36.0,Large Pharma,100.0,0.0
Perry Renshaw,1,1,0,15.0,Other,100.0,0.0
Proskura Patrycja,1,1,0,161.0,Other,100.0,0.0
Philip Spinella,1,1,0,1000.0,Other,100.0,0.0
Peking University Aerospace Center Hospital,1,1,0,42.0,Academic,100.0,0.0
People's Hospital of Quzhou,1,1,0,20.0,Hospital and Health System,100.0,0.0
Prothya Biosolutions,1,1,0,24.0,Other,100.0,0.0
Pentracor GmbH,1,1,0,37.0,Biotech,100.0,0.0
Protina Pharmazeutische GmbH,1,1,0,70.0,Large Pharma,100.0,0.0
"Peng Roc Chen, MD",1,0,1,92.0,Other,0.0,100.0
Pemba Ministry of Health Zanzibar,1,1,0,978.0,Government and Public Health,100.0,0.0
"PellePharm, Inc.",1,1,0,36.0,Biotech,100.0,0.0
"Provectus Biopharmaceuticals, Inc.",1,0,1,20.0,Large Pharma,0.0,100.0
Pelita Harapan University,1,1,0,74.0,Academic,100.0,0.0
"Pelican Therapeutics, Inc.",1,0,1,22.0,Biotech,0.0,100.0
Providence College,1,1,0,20.0,Academic,100.0,0.0
Peking University Hospital of Stomatology,1,1,0,14.0,Academic,100.0,0.0
Providence Therapeutics Holdings Inc.,1,1,0,565.0,Biotech,100.0,0.0
"Permobil, Inc.",1,1,0,14.0,Biotech,100.0,0.0
Providence VA Medical Center,1,1,0,40.0,Hospital and Health System,100.0,0.0
"Pei-Yuan Lee, MD",1,1,0,12.0,Other,100.0,0.0
Pei-Hsin Yang,1,1,0,82.0,Other,100.0,0.0
Psoriasis Research Institute of Guangzhou,1,1,0,88.0,Academic,100.0,0.0
"Pedro Barata, MD, MSc",1,1,0,13.0,Other,100.0,0.0
"Pedreira, Érika, M.D.",1,1,0,42.0,Other,100.0,0.0
Pediatric Spine Foundation,1,0,0,210.0,Other,0.0,0.0
Pediatric Clinical Research Platform,1,1,0,150.0,Hospital and Health System,100.0,0.0
Psychiatric Centre Rigshospitalet,1,1,0,108.0,Hospital and Health System,100.0,0.0
"Psychiatric Research Unit, Region Zealand, Denmark",1,1,0,112.0,Government and Public Health,100.0,0.0
Psychiatric Services Aargau AG,1,1,0,707.0,Other,100.0,0.0
"Psychiatric University Hospital, Zurich",1,1,0,27.0,Academic,100.0,0.0
Prothena Biosciences Ltd.,1,0,1,260.0,Biotech,0.0,100.0
People's Hospital of Xinjiang Uygur Autonomous Region,1,1,0,160.0,Hospital and Health System,100.0,0.0
People's Hospital of Zhengzhou University,1,0,0,0.0,Academic,0.0,0.0
"Peoples University, Bhanpur, Bhopal",1,1,0,30.0,Academic,100.0,0.0
Peripal AG,1,1,0,24.0,Other,100.0,0.0
"Protalex, Inc.",1,0,1,15.0,Biotech,0.0,100.0
PerioC Limited,1,1,0,23.0,Other,100.0,0.0
Periannan Kuppusamy,1,0,1,25.0,Other,0.0,100.0
"Perfuse Therapeutics, Inc.",1,0,0,24.0,Biotech,0.0,0.0
"Perfect Lens, LLC",1,1,0,19.0,Other,100.0,0.0
Perfect Care Distribution,1,1,0,27.0,Other,100.0,0.0
Per-Ola Carlsson,1,1,0,11.0,Other,100.0,0.0
Protalix,1,1,0,30.0,Other,100.0,0.0
Per thor Straten,1,1,0,59.0,Other,100.0,0.0
Per Torp Sangild,1,1,0,350.0,Other,100.0,0.0
"Per Ole Iversen, MD",1,0,0,538.0,Other,0.0,0.0
Per Hall,1,1,0,1440.0,Other,100.0,0.0
Per Damkier,1,1,0,12.0,Other,100.0,0.0
Per Bendix Jeppesen,1,1,0,14.0,Other,100.0,0.0
Peptinov SAS,1,1,0,24.0,Other,100.0,0.0
PepTonic Medical AB,1,1,0,31.0,Other,100.0,0.0
Protara Therapeutics,1,1,0,10.0,Biotech,100.0,0.0
Protein Sciences Corporation,1,1,0,407.0,Biotech,100.0,0.0
Protein Supplies SL,1,1,0,40.0,Other,100.0,0.0
Protembis GmbH,1,1,0,5.0,Biotech,100.0,0.0
PepTcell Limited,1,1,0,153.0,Other,100.0,0.0
Proteor Group,1,1,0,18.0,Other,100.0,0.0
PepGen Inc,1,0,1,7.0,Other,0.0,100.0
